date,cumulative_cases,culumative_deaths,new_confirmed_cases,CFR
1-Jan-00,167,4,167,0.023952096
2-Jan-00,219,4,52,0.01826484
3-Jan-00,264,9,45,0.034090909
4-Jan-00,306,10,42,0.032679739
5-Jan-00,350,10,44,0.028571429
6-Jan-00,386,11,36,0.028497409
7-Jan-00,456,17,70,0.037280702
8-Jan-00,487,17,31,0.034907598
9-Jan-00,1323,49,836,0.037037037
10-Jan-00,1408,53,85,0.037642045
11-Jan-00,1485,53,77,0.035690236
12-Jan-00,1550,54,65,0.03483871
13-Jan-00,1622,58,72,0.035758323
14-Jan-00,1804,62,182,0.034368071
15-Jan-00,2223,78,419,0.035087719
16-Jan-00,2270,79,47,0.034801762
17-Jan-00,2353,84,83,0.035699108
18-Jan-00,2416,89,63,0.036837748
19-Jan-00,2601,98,185,0.037677816
20-Jan-00,2671,103,70,0.038562336
21-Jan-00,2722,106,51,0.038941954
22-Jan-00,2781,111,59,0.0399137
23-Jan-00,2890,116,109,0.040138408
24-Jan-00,2960,119,70,0.040202703
25-Jan-00,3169,144,209,0.045440202
26-Jan-00,3235,154,66,0.047604328
27-Jan-00,3293,159,58,0.048284239
28-Jan-00,3389,165,96,0.048686928
29-Jan-00,3547,182,158,0.051310967
30-Jan-00,3547,182,0,0.051310967
31-Jan-00,3861,217,314,0.056203056
1-Feb-00,3947,229,86,0.058018748
2-Feb-00,4288,251,341,0.058535448
3-Feb-00,4435,263,147,0.059301015
4-Feb-00,4645,274,210,0.058988159
5-Feb-00,4832,293,187,0.060637417
6-Feb-00,5046,321,214,0.063614744
7-Feb-00,5458,353,412,0.064675705
8-Feb-00,5659,372,201,0.065735996
9-Feb-00,5861,391,202,0.066712165
10-Feb-00,6050,417,189,0.06892562
11-Feb-00,6230,435,180,0.069823435
12-Feb-00,6579,461,349,0.070071439
13-Feb-00,6723,478,144,0.071099212
14-Feb-00,6899,495,176,0.071749529
15-Feb-00,7049,506,150,0.071783232
16-Feb-00,7179,514,130,0.071597716
17-Feb-00,7292,526,113,0.072133845
18-Feb-00,7441,552,149,0.074183577
19-Feb-00,7542,573,101,0.075974543
20-Feb-00,7622,587,80,0.077013907
21-Feb-00,7693,598,71,0.077733004
22-Feb-00,7733,611,40,0.079012026
23-Feb-00,7755,623,22,0.080335268
24-Feb-00,7858,643,103,0.081827437
25-Feb-00,7913,662,55,0.0836598
26-Feb-00,7950,666,37,0.083773585
27-Feb-00,8046,682,96,0.084762615
28-Feb-00,8111,689,65,0.084946369
29-Feb-00,8135,696,24,0.085556238
1-Mar-00,8196,725,61,0.088457784
2-Mar-00,8215,735,19,0.089470481
3-Mar-00,8240,745,25,0.090412621
4-Mar-00,8295,750,55,0.090415913
5-Mar-00,8311,754,16,0.090723138
6-Mar-00,8354,764,43,0.091453196
7-Mar-00,8379,770,25,0.091896408
8-Mar-00,8393,772,14,0.091981413
9-Mar-00,8397,772,4,0.091937597
10-Mar-00,8398,775,1,0.092283877
11-Mar-00,8399,779,1,0.092749137
12-Mar-00,8421,784,22,0.093100582
13-Mar-00,8425,789,4,0.093649852
14-Mar-00,8430,789,5,0.093594306
15-Mar-00,8440,790,10,0.093601896
16-Mar-00,8449,792,9,0.093738904
17-Mar-00,8455,799,6,0.094500296
18-Mar-00,8459,799,4,0.094455609
19-Mar-00,8460,801,1,0.094680851
